name,surname,forename,orcid,wikidata
"Brahaj, Armand",,,,
"Brandenbeger, Christina",,,,
"Brandes, Vanessa",,,,
"Brandl, Stephanie",,,,
"Brandl, Stephanie",,,,
"Brandt, Julia",,,,
"Braud, Camille",,,,
"Bräuer, Johannes",,,,
"Braun, Manuel",,,,
"Braun, Manuel",,,,
"Braun, Tamara",,,,
"Bray, Benjamin",,,,
"Breitenbücher, Uwe",,,,
"Breitenbücher, Uwe",,,,
"Breitenbücher, Uwe",,,,
"Breitenbücher, Uwe",,,,
"Breitenfeld, Andre",,,,
"Breuer, Ludwig Maximilian",,,,
"Brodhun, Maximilian",,,,
"Brodhun, Maximilian",,,,
"Brodhun, Maximilian",,,,
"Brokering, Annalena",,,,
"Brookshire, Patrick Daniel",,,0000-0002-5843-7577,
"Brottrager, Judith",,,0000-0002-3108-8936,
"Bruchertseifer, Jens",,,0000-0003-3536-3082,
"Bruder, Daniel",,,,
"Bruder, Daniel",,,,
"Brüggemann, Viktoria",,,0000-0003-3858-0269,
"Brüggemann, Viktoria",,,,
"Brüggemann, Viktoria",,,,
"Brüning, Gerrit",,,0000-0003-2402-6734,
"Brüning, Gerrit",,,,
"Brüning, Gerrit",,,,
"Brunner, Annelen",,,0000-0002-2704-1190,
"Brunner, Annelen",,,,
"Brunner, Annelen",,,,
"Brunner, Annelen",,,,
"Brunner, Annelen",,,,
"Bruns, Oleksandra",,,,
"Bruschke, Jonas",,,,
"Bruschke, Jonas",,,,
"Bruschke, Jonas",,,,
"Bruschke, Jonas",,,,
"Bubenhofer, Noah",,,,
"Bubenhofer, Noah",,,,
"Bubula, Michał",,,0009-0004-6586-1319,
"Buchhop, Katia",,,,
"Büchler, Marco",,,,
"Buddenbohm, Stefan",,,0000-0002-3469-6101,
"Buddenbohm, Stefan",,,0000-0002-3469-6101,
"Buddenbohm, Stefan",,,,
"Büdenbender, Stefan",,,0000-0002-0478-0396,
"Büdenbender, Stefan",,,0000-0002-0478-0396,
"Buechel, Sven",,,,
"Buff, Bianca",,,,
"Bühler, Fabian",,,0000-0003-2834-4342,
"Bührig, Kristin",,,,
"Bunout, Estelle",,,,
"Bunout, Estelle",,,,
"Bunselmeier, Jennifer",,,,
"Burch, Thomas",,,0000-0002-8050-1475,
"Burch, Thomas",,,,
"Burch, Thomas",,,,
"Burch, Thomas",,,,
"Burckhardt, Daniel",,,0000-0003-0982-3735,
"Burckhardt, Daniel",,,,
"Burg, Severin",,,,
"Burgbacher, Ulrich",,,,
"Bürger, Thomas",,,,
"Bürgermeister, Martina",,,0000-0003-0594-1902,
"Bürgermeister, Martina",,,,
"Bürgermeister, Martina",,,,
"Bürgermeister, Martina",,,,
"Bürgermeister, Martina",,,,
"Bürgermeister, Martina",,,,
"Bürgermeister, Martina",,,,
"Bürgermeister, Martina",,,,
"Burghardt, Manuel",,,0000-0003-1354-9089,
"Burghardt, Manuel",,,0000-0003-1354-9089,
"Burghardt, Manuel",,,0000-0003-1354-9089,
"Burghardt, Manuel",,,0000-0003-1354-9089,
"Burghardt, Manuel",,,0000-0003-1354-9089,
