speaker-name,number-of-lectures
'0000-0002-4428-029X',1
'0000-0001-9774-082X',1
'0000-0002-5631-1727',1
'0000-0001-8876-0431',1
'Q126593977',1
'0000-0002-1498-8799',1
'0000-0002-1121-1319',1
'Q126691855',1
'Q126691847',1
'Q140379605',1
'Q126691848',1
'Q126691845',1
'0000-0002-1577-1604',1
'0000-0003-2199-2099',1
'0000-0002-0185-0467',1
'Q126691830',1
'0000-0002-5529-2384',1
'0000-0002-6109-4878',1
'0000-0002-8916-4997',1
'Q126691642',1
'0000-0001-9623-9806',1
'0000-0002-5344-4188',1
'Q126691859',1
'0000-0001-6847-1958',1
'0000-0002-0450-6493',1
'0000-0002-1634-9835',1
'Q126691853',1
'Q126594053',1
'Q126691854',1
'0000-0002-8988-6287',1
'0000-0003-2017-6604',1
'Q126595526',1
'Q126691867',1
'0000-0002-4416-6331',1
'0000-0002-8932-2772',1
'0000-0002-0610-9280',1
'0000-0003-0956-4841',1
'0000-0001-8444-7245',1
'0000-0002-0162-0311',1
'0000-0001-6519-9266',1
'0009-0002-5015-6508',1
'0000-0003-0766-120X',1
'Q126597599',1
'0000-0002-2718-1978',1
'0009-0006-4192-7779',1
'0000-0001-9544-121X',1
'0000-0002-9936-7173',1
'0000-0003-3328-6693',1
'Q126593980',1
'Q126595030',1
'Q126691828',1
'0000-0003-4586-0111',1
'0000-0003-4674-6003',1
'0000-0001-6819-2043',1
'Q126691849',1
'0000-0002-6278-167X',1
'0000-0002-4349-4835',1
'0000-0003-0781-2418',1
'Q6834532',1
'0000-0002-1132-417X',1
'0009-0005-0232-5719',1
'0000-0002-4385-8395',1
'Q95229875',1
'Q126691874',1
'0000-0002-7653-5859',1
'0000-0002-8406-0785',1
'0000-0003-3269-453X',1
'0009-0003-3834-1708',1
'0000-0002-4736-2565',1
'Q126691924',1
'0009-0005-6915-6294',1
'0000-0001-5913-671X',1
'Q126691904',1
'0000-0001-9515-8262',1
'0000-0002-3855-0695',1
'0000-0002-0634-6147',1
'0000-0002-6494-2350',1
'0000-0002-6895-3022',1
'Q126594186',1
'Q126596331',1
'0009-0000-8348-583X',1
'Q126596309',1
'0000-0002-4685-4357',1
'Q126594246',1
'0000-0002-8604-544X',1
'0000-0002-9953-7638',1
'0000-0003-2446-9025',1
'Q126691902',1
'0000-0002-4147-9690',1
'0000-0003-4954-5469',1
'0000-0002-6559-0510',1
'Q101966337',1
'Q126594923',1
'Q126595537',1
'0000-0002-5477-2538',1
'Q126691909',1
'0000-0003-4352-9732',1
'0000-0002-7386-2184',1
'Q126594182',1
'0000-0001-6136-3970',1
'0000-0002-5208-6120',1
'0000-0002-2143-7987',1
'Q126596326',1
'Q126691892',1
'0000-0001-5307-6883',1
'0000-0003-4759-7716',1
'Q126691894',1
'0000-0003-2470-4590',1
'0000-0002-7771-7187',1
'0000-0001-8942-1159',1
'0000-0001-9672-9856',1
'0000-0002-2480-4746',1
'0000-0001-5161-2435',1
'Q126691935',1
'Q126691922',1
'0000-0003-4303-8781',1
'0000-0002-1382-2658',1
'0009-0006-6004-6133',1
'0000-0002-5561-9674',1
'Q126594126',1
'0000-0002-4862-212X',1
'Q126595551',1
'0009-0005-7905-4654',1
'Q126691889',1
'0000-0002-6372-2487',1
'0000-0002-0197-542X',1
'0000-0001-7032-6696',1
'0000-0003-1237-7414',1
'Q126691899',1
'0009-0004-7784-7207',1
'Q126598193',1
'0000-0001-6166-6496',1
'0000-0002-5279-7408',1
'Q126691939',1
'Q126691940',1
'0000-0002-4862-6585',1
'0009-0003-3431-5326',1
'Q126598191',1
'Q126598192',1
'0000-0003-2948-2392',1
'Q124293317',1
'Q95903556',1
'0000-0002-6820-4515',1
'0000-0003-3940-6908',1
'0000-0001-8183-7109',1
'Q117280310',1
'Q126594196',1
'0000-0001-8099-8525',1
'Q126595540',1
'0000-0003-2913-2421',1
'0000-0001-9853-9570',1
'0000-0003-1333-9209',1
'0000-0002-2547-5980',1
'Q126691897',1
'0000-0002-1380-2251',1
'0000-0001-8410-1682',1
'0000-0002-0826-0144',1
'Q126691886',1
'0000-0002-2619-3248',1
'0000-0002-1367-0746',1
'0000-0002-4544-1462',1
'Q126595548',1
'0000-0001-8718-9536',1
'Q126691914',1
'Q126691980',1
'0000-0003-1593-5119',1
'0000-0003-2921-3037',1
'0000-0003-3562-5505',1
'0000-0001-8618-0185',1
'0009-0001-3517-0566',1
'0000-0001-9214-8915',1
'0000-0001-9310-9029',1
'0000-0002-7099-4659',1
'0000-0002-3866-2830',1
'0000-0002-0388-7220',1
'Q126691967',1
'Q126692006',1
'0009-0001-7510-1194',1
'0000-0002-5735-178X',1
'0000-0002-9743-3819',1
'Q126598201',1
'0000-0003-0146-4264',1
'0000-0003-1551-6491',1
'0000-0003-3588-6721',1
'Q126598063',1
'Q126595571',1
'Q126692012',1
'0009-0005-3141-4809',1
'0000-0002-6363-4807',1
'Q126595556',1
