Person ID	Institution	Year
vicent_naiara	uni-pais-vasco	2021
blanke_tobias	uni-amsterdam	2024
bonch-osmolovskaya_anastasia	uni-moskau	2023
acquavella-rauch_stefanie	uni-mainz	2021
baker_keith-michael	uni-stanford	2016
schnapp_jeffrey	uni-harvard	2016
cugliana_elisa	uni-venezia	2020
cugliana_elisa	uni-koeln	2022
lucchesi_anita	uni-luxemburg	2023
demantowsky_marko	uni-basel	2017
ruef_bernhard	uni-zuerich	2015
ruef_bernhard	ssrq	2021
al-suadi_soham	uni-rostock	2024
alvares-freire_fernanda	uni-rostock	2023
alvares-freire_fernanda	uni-darmstadt	2024
baillot_anne	uni-le-mans	2024
baillot_anne	centre-marc-bloch	2017
berti_monica	uni-leipzig	2024
cap_clemens	uni-rostock	2024
carmo_ines-rebelo-do	uni-lissabon	2023
dennerlein_katrin	uni-wuerzburg	2025
dumont_stefan	bbaw	2023
reichelt_manuela	fbn	2023
eggert_anja	fbn	2023
evans_tanya	uni-macquarie	2020
fischer_frank	uni-goettingen	2015
fischer_frank	uni-moskau	2016
fischer_frank	uni-fu-berlin	2024
fischer_frank	dariah	2021
gius_evelyn	uni-darmstadt	2024
gius_evelyn	uni-hamburg	2014
hall_mark	uni-open	2024
henny-krahmer_ulrike	uni-wuerzburg	2017
henny-krahmer_ulrike	uni-rostock	2022
herrmann_berenike	uni-bielefeld	2023
himstedt-vaid_petra	uni-rostock	2023
jettka_daniel	uni-paderborn	2023
kassner_fabian	uni-rostock	2023
kellner_nils	uni-rostock	2023
neuefeind_claes	uni-koeln	2015
messerschmidt_reinhard	uni-koeln	2015
rau_felix	uni-koeln	2015
diwersy_sascha	uni-koeln	2015
dieckmann_lisa	uni-koeln	2022
fischer_franz	uni-koeln	2015
vetter_angila	library-uni-kiel	2023
vetter_angila	uni-augsburg	2023
hoffmann_moritz	self-employment	2016
parina_elena	uni-marburg	2016
gengnagel_tessa	uni-koeln	2016
gengnagel_tessa	cceh	2023
elwert_frederik	uni-bochum	2016
eide_oyvind	uni-koeln	2016
geelhaar_tim	uni-frankfurt	2017
prager_christian	uni-bonn	2017
diederichs_katja	uni-bonn	2017
declerck_thierry	dfki	2017
daxenberger_johannes	uni-darmstadt	2017
daengeli_peter	uni-koeln	2017
hodel_tobias	uni-zuerich	2017
witt_andreas	uni-koeln	2017
witt_andreas	uni-mannheim	2024
witt_andreas	uni-heidelberg	2024
andrews_tara	uni-wien	2022
kahn_rebecca	uni-wien	2021
wallnig_thomas	uni-wien	2020
windhager_florian	uni-krems	2020
windhager_florian	uni-wien	2021
vogeler_georg	uni-graz	2023
preiser-kapeller_johannes	oeaw	2020
rastinger_nina	oeaw	2024
fellner_hannes	uni-wien	2020
odijk_jan	uni-utrecht	2015
backes_marianne	cvce	2015
arthur_paul	uni-west-sydney	2015
huang_marianne	uni-aarhus	2015
angeletaki_alexandra	uni-trondheim	2016
ommer_björn	uni-heidelberg	2017
crane_gregory	uni-leipzig	2017
crane_gregory	uni-tufts	2017
harrower_natalie	dri	2017
harrower_natalie	ria	2017
edmond_jennifer	uni-trinity-dublin	2021
edmond_jennifer	dariah	2021
tulp_jan-willem	tulp	2018
meyer_miriah	uni-utah	2019
van-erp_marieke	knaw	2019
romary_laurent	inria	2020
van-hyning_victoria	uni-maryland-info	2020
hovy_dirk	uni-bocconi	2021
bateman_john	uni-bremen	2021
kohle_hubertus	uni-muenchen	2021
schneider_stefanie	uni-muenchen	2021
van-zundert_joris	huygens-ing	2020
mantoan_diego	uni-venezia	2020
may_sarah	uni-swansea	2020
huskey_samuel	uni-oklahoma	2020
dutta_abhishek	uni-oxford	2020
malaspina_matilde	uni-oxford	2020
schich_maximilian	uni-tallinn	2022
heath_sebastian	uni-new-york	2022
rogers_richard	uni-amsterdam	2022
rabus_achim	uni-freiburg	2023
tasovac_toma	dariah	2023
horvath_aliz	uni-eoetvoes-lorand	2024
priego_ernesto	uni-london-city	2021
severo_marta	uni-paris-nanterre	2021
toth_michael-b	rbtoth	2021
nevola_fabrizio	uni-exeter	2021
hermens_erma	uni-amsterdam	2021
hermens_erma	museum-rijks	2021
hermens_erma	uni-venezia	2021
forte_maurizio	uni-duke	2021
mancinelli_tiziana	uni-venezia	2021
kiss_dániel	uni-barcelona	2021
kiss_dániel	uni-venezia	2021
siemens_ray	uni-victoria	2021
arbuckle_alyssa	uni-victoria	2021
dell-unto_nicolo	cnr	2014
dell-unto_nicolo	uni-lund	2021
bernini_rita	museum-icg	2021
luzon_jose-maria	museum-rabasf	2021
misiti_maria-cristina	self-employment	2021
daquino_marilena	uni-bologna	2021
gallia_arturo	uni-roma-tre	2021
pavlopoulos_ioannis	uni-venezia	2022
pavlopoulos_ioannis	uni-stockholm	2022
gil_tiago-luis	uni-venezia	2022
gil_tiago-luis	uni-brasilia	2022
camps_jean-baptiste	uni-venezia	2022
camps_jean-baptiste	uni-ecole-des-chartes	2022
mcgillivray_barbara	uni-london-kcl	2022
berti_paolo	uni-venezia	2022
macchiarelli_agnese	uni-venezia	2022
danelon_nevio	uni-duke	2022
danelon_nevio	uni-venezia	2022
danelon_nevio	uni-rome-sapienza	2024
williams_sean	uni-sheffield	2022
williams_sean	uni-venezia	2022
dolcetti_francesca	uni-venezia	2022
galeazzo_ludovica	uni-padua	2023
maietti_federica	uni-ferrara	2023
carbe_emmanuela	uni-siena	2023
bessi_benedetta	uni-venezia	2023
algee-hewitt_mark	uni-stanford	2023
lenci_alessandro	uni-pisa	2014
damiano_rossana	uni-torino	2023
monachini_monica	ilc	2019
fernández-castrillo_carolina	uni-venezia	2019
fernández-castrillo_carolina	uni-madrid	2019
monella_paolo	uni-venezia	2019
monella_paolo	uni-palermo	2019
campagnolo_alberto	uni-venezia	2020
tomasi_francesca	uni-bologna	2020
tonelli_sara	fbk	2020
corro_elisa	uni-venezia	2020
fusi_daniele	uni-venezia	2020
delmonte_rodolfo	uni-venezia	2020
redmond_marie	uni-venezia	2020
tramelli_barbara	uni-venezia	2020
campus_leonardo	uni-venezia	2020
robinson_peter	uni-saskatchewan	2024
robinson_peter	uni-venezia	2024
