speaker-name,number-of-lectures
Anna-Maria De Cesare,2
Anke Langner,2
Andreas Kuczera,2
Gregor Middell,2
Lisa Poggel,2
Matthias Bauer,2
Klaus Wendel,2
Markus John,2
Gabriel Viehhauser,2
Peggy Bockwinkel,2
Marc Priewe,2
Toni Bernhart,2
Dominik Gerstorfer,2
Malte Heckelen,2
Jana Keck,2
Katharina Zeppezauer-Wachauer,2
Fabio Ciotti,2
Mark Gotham,2
Vanessa Hannesschläger,2
Lorna Hughes,2
Marieke van Erp,2
Chiara Zuanni,2
Immo Trinks,2
Isabella Nicka,2
Martin Rohrmeier,2
Dominique Boullier,2
Sarah Kenderdine,2
Bela Kapossy,2
Henry Martin,2
Lisa Dieckmann,3
Nils Reiter,3
Mareike König,3
Alexander Czmiel,3
Torsten Schrade,3
Zoe Schubert,3
Fabian Kaßner,3
Stefan Dumont,3
Alexander Lasch,3
Aline Deicke,3
Susanne Haaf,3
Christian Thomas,3
Angelika Zirker,3
Franco Moretti,3
Maxim Romanov,3
Hannes Fellner,3
Florian Windhager,3
Enes Türkoğlu,4
Simon Meier-Vieracker,4
Kay-Michael Würzner,4
Thomas Wallnig,4
Johannes Preiser-Kapeller,4
Patrick Sahle,5
Tessa Gengnagel,5
Elisa Cugliana,5
Mareike Schumacher,5
Tara Andrews,5
Ulrike Henny-Krahmer,7
