Person ID	First Name	Last Name	Sex	Year	Institution
venerandi_fabrizio	Fabrizio	Venerandi		2014	self-employment
zanzotto_fabio-massimo	Fabio Massimo	Zanzotto		2014	uni-roma-tor-vergata
schaefer_lea	Lea	Schäfer		2023	uni-marburg
lubin_jonah	Jonah	Lubin		2023	uni-fu-berlin
chen_beijia	Beijia	Chen		2023	uni-fu-berlin
chen_beijia	Beijia	Chen		2024	uni-fu-berlin
poggel_lisa	Lisa	Poggel		2023	uni-fu-berlin
poggel_lisa	Lisa	Poggel		2025	uni-fu-berlin
rodighiero_dario	Dario	Rodighiero		2023	uni-groningen
iurescia_federica	Federica	Iurescia		2023	uni-cattolica-milano
parisi_maria-chiara	Maria Chiara	Parisi		2023	uni-amsterdam
sprugnoli_rachele	Rachele	Sprugnoli		2023	uni-parma
pence_charles	Charles	Pence		2022	uni-leuven
lang_sarah	Sarah	Lang		2022	uni-graz
noichl_maximilian	Maximilian	Noichl		2022	uni-bamberg uni-wien
wontorra_lena	Lena	Wontorra		2022	uni-fu-berlin ntm-mannheim
duan_tinghui	Tinghui	Duan		2022	uni-jena
herbst_benjamin	Benjamin	Herbst		2022	uni-bern
gutierrez_silvia	Silvia	Gutiérrez		2022	uni-leipzig
mischke_dennis	Dennis	Mischke		2023	uni-fu-berlin
mischke_dennis	Dennis	Mischke		2022	uni-fu-berlin
hessbrueggen-walter_stefan	Stefan	Heßbrüggen-Walter		2023	uni-bochum
hessbrueggen-walter_stefan	Stefan	Heßbrüggen-Walter		2022	uni-moskau
orekhov_boris	Boris	Orekhov		2022	uni-moskau
cakir_dilan-canan	Dîlan Canan	Çakir		2022	uni-stuttgart archive-dla-marbach
escobar-varela_miguel	Miguel	Escobar Varela		2021	uni-singapore
escobar-varela_miguel	Miguel	Escobar Varela		2024	uni-singapore
strasser_marc	Marc	Strasser		2024	usb
akarcay_guenhan	Günhan	Akarçay		2024	museum-snm
maget-dominice_antoinette	Antoinette	Maget Dominicé		2024	uni-geneve
melone_mirco	Mirco	Melone		2024	museum-hmb
himmelsbach_sabine	sabine	Himmelsbach		2024	museum-hek
jaquet_daniel	Daniel	Jaquet		2024	uni-epfl-lausanne
katz_brian	Brian	Katz		2024	uni-paris-sorbonne
jehle_bruno	Bruno	Jehle		2023	bj-institute
zimmermann_dorothea	Dorothea	Zimmermann		2023	library-eth
sibille_christiane	Christiane	Sibille		2023	library-eth
stoffel_isabelle	Isabelle	Stoffel		2023	self-employment
taes_sofie	Sofie	Taes		2023	uni-leuven
dufaux_alain	Alain	Dufaux		2023	uni-epfl-lausanne
gries_christian	Christian	Gries		2023	museum-lmw
peacock_vita	Vita	Peacock		2022	uni-london-kcl
bruun_mikkel-kenni	Mikkel Kenni	Bruun		2022	uni-london-kcl
devlin_kate	Kate	Devlin		2022	uni-london-kcl
bunz_mercedes	Mercedes	Bunz		2022	uni-london-kcl
chavez-heras_daniel	Daniel	Chávez Heras		2022	uni-london-kcl
roueche_charlotte	Charlotte	Roueché		2019	uni-london-kcl
meghini_carlo	Carlo	Meghini		2018	cnr
bruegger_niels	Niels	Brügger		2017	uni-aarhus
drucker_johanna	Johanna	Drucker		2016	uni-la-california
hockey_susan	Susan	Hockey		2015	uni-london-ucl
luis-bueren_jose	José	Luis Bueren		2021	library-bne
fontal-merillas_olaia	Olaia	Fontal Merillas		2021	uni-valladolid
corff_oliver	Oliver	Corff		2024	unknown
lehmberg_timm	Timm	Lehmberg		2024	adw-hamburg
reul_christian	Christian	Reul		2024	uni-wuerzburg
marx_konstanze	Konstanze	Marx		2024	uni-greifswald
gloning_thomas	Thomas	Gloning		2024	uni-giessen bbaw
lemnitzer_lothar	Lothar	Lemnitzer		2024	bbaw
barbaresi_adrien	Adrien	Barbaresi		2023	bbaw
schneider_roman	Roman	Schneider		2023	ids
nolda_andreas	Andreas	Nolda		2023	bbaw
kupietz_marc	Marc	Kupietz		2023	ids
diewald_nils	Nils	Diewald		2023	ids
meyer-hinrichs_kerstin	Kerstin	Meyer-Hinrich		2023	adw-goettingen
mederake_nathalie	Nathalie	Mederake		2023	adw-goettingen
harm_volker	Volker	Harm		2023	adw-goettingen
dorn_nico	Nico	Dorn		2023	adw-goettingen
hug_marius	Marius	Hug		2023	bbaw
boenig_matthias	Matthias	Boenig		2023	bbaw
vogeler_andreas	Andreas	Vogeler		2023	legacy-page
helbig_holger	Holger	Helbig		2023	uni-rostock
hamster_ulf	Ulf	Hamster		2023	bbaw
henzel_katrin	Katrin	Henzel		2023	uni-kiel
schulte-im-walde_sabine	Sabine	Schulte im Walde		2023	uni-stuttgart
biemann_chris	Chris	Biemann		2023	uni-hamburg
arnold_frederik	Frederik	Arnold		2022	uni-hu-berlin
fiechter_benjamin	Benjamin	Fiechter		2022	uni-hu-berlin
jaeschke_robert	Robert	Jäschke		2022	uni-hu-berlin
martus_steffen	Steffen	Martus		2022	uni-hu-berlin
zinsmeister_heike	Heike	Zinsmeister		2022	uni-hamburg
muehlberger_guenter	Günter	Mühlberger		2022	uni-innsbruck
piotrowski_michael	Michael	Piotrowski		2022	uni-lausanne
piotrowski_michael	Michael	Piotrowski		2020	uni-lausanne
georgi_christopher	Christopher	Georgi		2021	uni-paderborn
kirsten_linda	Linda	Kirsten		2021	bbaw uni-paderborn
thielert_frauke	Frauke	Thielert		2021	uni-paderborn
klappenbach_lou	Lou	Klappenbach		2021	bbaw
schnoepf_markus	Markus	Schnöpf		2021	bbaw
wilk_nicole-marianne	Nicole Marianne	Wilk		2021	uni-paderborn
schulz_daniela	Daniela	Schulz		2021	bbaw
stockhausen_annette-von	Annette	von Stockhausen		2021	bbaw
stockhausen_annette-von	Annette	von Stockhausen		2022	bbaw
kaiser_maximilian	Maximilian	Kaiser		2021	oeaw
schloegl_matthias	Matthias	Schlögl		2021	oeaw
kurz_stephan	Stephan	Kurz		2021	oeaw
klemstein_franziska	Franziska	Klemstein		2020	uni-weimar
brunner_annelen	Annelen	Brunner		2020	ids
naji_julia	Julia	Naji		2020	bbaw
geyken_alexander	Alexander	Geyken		2020	bbaw
rojas-castro_antonio	Antonio	Rojas Castro		2025	uni-tuebingen
rojas-castro_antonio	Antonio	Rojas Castro		2020	bbaw
schumacher_mareike	Mareike	Schumacher		2023	uni-regensburg
schumacher_mareike	Mareike	Schumacher		2020	uni-hamburg
