TermOrganizers	LectureSpeaker	SeriesId	EdgeId	speaker	affiliation
wuerzner_kay-michael	czmiel_alexander (bbaw)	ls12	ls12_t2_l2	czmiel_alexander	bbaw
wuerzner_kay-michael	dumont_stefan (bbaw)	ls12	ls12_t2_l2	dumont_stefan	bbaw
wuerzner_kay-michael	neuber_frederike (bbaw)	ls12	ls12_t2_l2	neuber_frederike	bbaw
wuerzner_kay-michael	thomas_christian (bbaw)	ls12	ls12_t2_l2	thomas_christian	bbaw
wuerzner_kay-michael	wuerzner_kay-michael (bbaw)	ls12	ls12_t2_l2	wuerzner_kay-michael	bbaw
wuerzner_kay-michael	baiter_johannes (library-bsb)	ls12	ls12_t2_l3	baiter_johannes	library-bsb
wuerzner_kay-michael	dieckmann_lisa (uni-koeln)	ls12	ls12_t2_l4	dieckmann_lisa	uni-koeln
wuerzner_kay-michael	schirmacher_hartmut (fh-bht)	ls12	ls12_t2_l5	schirmacher_hartmut	fh-bht
wuerzner_kay-michael	meier-vieracker_simon (uni-tu-berlin)	ls12	ls12_t2_l6	meier-vieracker_simon	uni-tu-berlin
wuerzner_kay-michael	deicke_aline (adw-mainz)	ls12	ls12_t2_l7	deicke_aline	adw-mainz
wuerzner_kay-michael	kronemeijer_redmer (self-employment)	ls12	ls12_t2_l8	kronemeijer_redmer	self-employment
wuerzner_kay-michael	bleeker_elli (knaw)	ls12	ls12_t2_l9	bleeker_elli	knaw
wuerzner_kay-michael	simon_tobias (fh-mainz)	ls12	ls12_t2_l10	simon_tobias	fh-mainz
vertan_cristina	meyer-sickendiek_burkhard (uni-fu-berlin)	ls12	ls12_t2_l1	meyer-sickendiek_burkhard	uni-fu-berlin
vertan_cristina	hussein_hussein (uni-fu-berlin)	ls12	ls12_t2_l1	hussein_hussein	uni-fu-berlin
vertan_cristina	czmiel_alexander (bbaw)	ls12	ls12_t2_l2	czmiel_alexander	bbaw
vertan_cristina	dumont_stefan (bbaw)	ls12	ls12_t2_l2	dumont_stefan	bbaw
vertan_cristina	neuber_frederike (bbaw)	ls12	ls12_t2_l2	neuber_frederike	bbaw
vertan_cristina	thomas_christian (bbaw)	ls12	ls12_t2_l2	thomas_christian	bbaw
vertan_cristina	wuerzner_kay-michael (bbaw)	ls12	ls12_t2_l2	wuerzner_kay-michael	bbaw
vertan_cristina	baiter_johannes (library-bsb)	ls12	ls12_t2_l3	baiter_johannes	library-bsb
vertan_cristina	dieckmann_lisa (uni-koeln)	ls12	ls12_t2_l4	dieckmann_lisa	uni-koeln
vertan_cristina	schirmacher_hartmut (fh-bht)	ls12	ls12_t2_l5	schirmacher_hartmut	fh-bht
vertan_cristina	meier-vieracker_simon (uni-tu-berlin)	ls12	ls12_t2_l6	meier-vieracker_simon	uni-tu-berlin
vertan_cristina	deicke_aline (adw-mainz)	ls12	ls12_t2_l7	deicke_aline	adw-mainz
vertan_cristina	kronemeijer_redmer (self-employment)	ls12	ls12_t2_l8	kronemeijer_redmer	self-employment
vertan_cristina	bleeker_elli (knaw)	ls12	ls12_t2_l9	bleeker_elli	knaw
vertan_cristina	simon_tobias (fh-mainz)	ls12	ls12_t2_l10	simon_tobias	fh-mainz
lemnitzer_lothar	meyer-sickendiek_burkhard (uni-fu-berlin)	ls12	ls12_t2_l1	meyer-sickendiek_burkhard	uni-fu-berlin
lemnitzer_lothar	hussein_hussein (uni-fu-berlin)	ls12	ls12_t2_l1	hussein_hussein	uni-fu-berlin
lemnitzer_lothar	czmiel_alexander (bbaw)	ls12	ls12_t2_l2	czmiel_alexander	bbaw
lemnitzer_lothar	dumont_stefan (bbaw)	ls12	ls12_t2_l2	dumont_stefan	bbaw
lemnitzer_lothar	neuber_frederike (bbaw)	ls12	ls12_t2_l2	neuber_frederike	bbaw
lemnitzer_lothar	thomas_christian (bbaw)	ls12	ls12_t2_l2	thomas_christian	bbaw
lemnitzer_lothar	wuerzner_kay-michael (bbaw)	ls12	ls12_t2_l2	wuerzner_kay-michael	bbaw
lemnitzer_lothar	baiter_johannes (library-bsb)	ls12	ls12_t2_l3	baiter_johannes	library-bsb
lemnitzer_lothar	dieckmann_lisa (uni-koeln)	ls12	ls12_t2_l4	dieckmann_lisa	uni-koeln
lemnitzer_lothar	schirmacher_hartmut (fh-bht)	ls12	ls12_t2_l5	schirmacher_hartmut	fh-bht
lemnitzer_lothar	meier-vieracker_simon (uni-tu-berlin)	ls12	ls12_t2_l6	meier-vieracker_simon	uni-tu-berlin
lemnitzer_lothar	deicke_aline (adw-mainz)	ls12	ls12_t2_l7	deicke_aline	adw-mainz
lemnitzer_lothar	kronemeijer_redmer (self-employment)	ls12	ls12_t2_l8	kronemeijer_redmer	self-employment
lemnitzer_lothar	bleeker_elli (knaw)	ls12	ls12_t2_l9	bleeker_elli	knaw
lemnitzer_lothar	simon_tobias (fh-mainz)	ls12	ls12_t2_l10	simon_tobias	fh-mainz
dumont_stefan	fry_alex (psycle)	ls12	ls12_t3_l1	fry_alex	psycle
dumont_stefan	gardner_roy (psycle)	ls12	ls12_t3_l1	gardner_roy	psycle
dumont_stefan	pollin_christopher (uni-graz)	ls12	ls12_t3_l2	pollin_christopher	uni-graz
dumont_stefan	haaf_susanne (bbaw)	ls12	ls12_t3_l3	haaf_susanne	bbaw
dumont_stefan	czmiel_alexander (bbaw)	ls12	ls12_t3_l3	czmiel_alexander	bbaw
dumont_stefan	mueller-laackman_jonas (bbaw)	ls12	ls12_t3_l3	mueller-laackman_jonas	bbaw
dumont_stefan	pohl_oliver (bbaw)	ls12	ls12_t3_l3	pohl_oliver	bbaw
